job_id	written	fraction	resolved
100	2025-06-26 06:58:29.538792+00	0	NULL
101	2025-06-26 06:58:29.5389+00	0	NULL
103	2025-06-26 06:58:29.535793+00	0	NULL
104	2025-06-26 06:58:29.538792+00	0	NULL
105	2025-06-26 06:58:29.538821+00	0	NULL
1084131516357246977	2025-07-22 06:04:41.39015+00	0	NULL
1084131516357246977	2025-07-22 06:04:11.386653+00	0	NULL
1084131516357246977	2025-07-22 06:03:41.384895+00	0	NULL
1084131516357246977	2025-07-22 06:03:11.382774+00	0	NULL
1084131516357246977	2025-07-22 06:02:41.380014+00	0	NULL
1084131516357246977	2025-07-22 06:02:11.374887+00	0	NULL
1084131516357246977	2025-07-22 06:01:41.373665+00	0	NULL
1084131516357246977	2025-07-22 06:01:20.40239+00	0	NULL
1084131516357246977	2025-07-22 06:01:11.372721+00	0	NULL
1084131516357246977	2025-07-22 06:00:56.375801+00	0	NULL
1084131516357246977	2025-07-22 06:00:41.355688+00	0	NULL
1084131516357246977	2025-07-22 06:00:11.338677+00	0	NULL
1084131516357246977	2025-07-22 05:59:41.326052+00	0	NULL
1084131516357246977	2025-07-22 05:59:08.362554+00	0	NULL
1084131516357246977	2025-07-22 05:58:41.317138+00	0	NULL
1084131516357246977	2025-07-22 05:58:11.313315+00	0	NULL
1084131516357246977	2025-07-22 05:57:41.310852+00	0	NULL
1084131516357246977	2025-07-22 05:57:08.336912+00	0	NULL
1084131516357246977	2025-07-22 05:56:41.299848+00	0	NULL
1084131516357246977	2025-07-22 05:56:11.298599+00	0	NULL
1084131516357246977	2025-07-22 05:55:41.293971+00	0	NULL
1084131516357246977	2025-07-22 05:55:11.274638+00	0	NULL
1084131516357246977	2025-07-22 05:54:41.273095+00	0	NULL
1084131516357246977	2025-07-22 05:54:11.266468+00	0	NULL
1084131516357246977	2025-07-22 05:53:41.262897+00	0	NULL
1084131516357246977	2025-07-22 05:53:11.255819+00	0	NULL
1084131516357246977	2025-07-22 05:52:41.248703+00	0	NULL
1084131516357246977	2025-07-22 05:52:11.247353+00	0	NULL
1084131516357246977	2025-07-22 05:51:41.243554+00	0	NULL
1084131516357246977	2025-07-22 05:51:11.241621+00	0	NULL
1084131516357246977	2025-07-22 05:50:41.235757+00	0	NULL
1084131516357246977	2025-07-22 05:50:11.232277+00	0	NULL
1084131516357246977	2025-07-22 05:49:41.220385+00	0	NULL
1084131516357246977	2025-07-22 05:49:11.191057+00	0	NULL
1084131516357246977	2025-07-22 05:48:41.189975+00	0	NULL
1084131516357246977	2025-07-22 05:48:11.188573+00	0	NULL
1084131516357246977	2025-07-22 05:47:41.185209+00	0	NULL
1084131516357246977	2025-07-22 05:47:11.176174+00	0	NULL
1084131516357246977	2025-07-22 05:46:41.175138+00	0	NULL
1084131516357246977	2025-07-22 05:46:11.173033+00	0	NULL
1084131516357246977	2025-07-22 05:45:41.169874+00	0	NULL
1084131516357246977	2025-07-22 05:45:11.167338+00	0	NULL
1084131516357246977	2025-07-22 05:44:41.166516+00	0	NULL
1084131516357246977	2025-07-22 05:44:11.158914+00	0	NULL
1084131516357246977	2025-07-22 05:43:41.157631+00	0	NULL
1084131516357246977	2025-07-22 05:43:11.14999+00	0	NULL
1084131516357246977	2025-07-22 05:42:41.146424+00	0	NULL
1084131516357246977	2025-07-22 05:42:11.135789+00	0	NULL
1084131516357246977	2025-07-22 05:41:41.130088+00	0	NULL
1084131516357246977	2025-07-22 05:41:11.128849+00	0	NULL
1084131516357246977	2025-07-22 05:40:41.122519+00	0	NULL
1084131516357246977	2025-07-22 05:40:11.120281+00	0	NULL
1084131516357246977	2025-07-22 05:39:41.104308+00	0	NULL
1084131516357246977	2025-07-22 05:39:11.102274+00	0	NULL
1084131516357246977	2025-07-22 05:38:41.10163+00	0	NULL
1084131516357246977	2025-07-22 05:38:11.08441+00	0	NULL
1084131516357246977	2025-07-22 05:37:41.081411+00	0	NULL
1084131516357246977	2025-07-22 05:37:11.069466+00	0	NULL
1084131516357246977	2025-07-22 05:36:53.132658+00	0	NULL
1084131516357246977	2025-07-22 05:36:41.066306+00	0	NULL
1084131516357246977	2025-07-22 05:36:11.056238+00	0	NULL
1084131516357246977	2025-07-22 05:35:41.055048+00	0	NULL
1084131516357246977	2025-07-22 05:35:11.054156+00	0	NULL
1084131516357246977	2025-07-22 05:34:41.052761+00	0	NULL
1084131516357246977	2025-07-22 05:34:11.052268+00	0	NULL
1084131516357246977	2025-07-22 05:33:41.05051+00	0	NULL
1084131516357246977	2025-07-22 05:33:11.047462+00	0	NULL
1084131516357246977	2025-07-22 05:32:41.041226+00	0	NULL
1084131516357246977	2025-07-22 05:32:11.039039+00	0	NULL
1084131516357246977	2025-07-22 05:31:41.037723+00	0	NULL
1084131516357246977	2025-07-22 05:31:11.036436+00	0	NULL
1084131516357246977	2025-07-22 05:30:41.032911+00	0	NULL
1084131516357246977	2025-07-22 05:30:11.031811+00	0	NULL
1084131516357246977	2025-07-22 05:29:56.051435+00	0	NULL
1084131516357246977	2025-07-22 05:29:41.018762+00	0	NULL
1084131516357246977	2025-07-22 05:29:11.014326+00	0	NULL
1084131516357246977	2025-07-22 05:28:41.011487+00	0	NULL
