table_name	aggregated_ts	row_count
system.statement_statistics	2025-07-16 07:00:00+00	495
system.statement_statistics	2025-07-16 06:00:00+00	157
system.statement_statistics	2025-07-16 05:00:00+00	84
system.statement_statistics	2025-07-16 04:00:00+00	90
system.statement_statistics	2025-07-15 15:00:00+00	69
system.statement_statistics	2025-07-15 10:00:00+00	95
system.statement_statistics	2025-07-15 09:00:00+00	420
system.statement_statistics	2025-07-15 08:00:00+00	452
system.statement_statistics	2025-07-15 07:00:00+00	438
system.statement_statistics	2025-07-15 06:00:00+00	473
system.statement_statistics	2025-07-15 05:00:00+00	87
system.statement_statistics	2025-07-15 04:00:00+00	77
system.statement_statistics	2025-07-14 18:00:00+00	66
system.statement_statistics	2025-07-14 13:00:00+00	80
system.statement_statistics	2025-07-14 12:00:00+00	86
system.statement_statistics	2025-07-14 11:00:00+00	92
system.statement_statistics	2025-07-14 10:00:00+00	97
system.statement_statistics	2025-07-14 09:00:00+00	597
system.statement_statistics	2025-07-14 08:00:00+00	430
system.statement_statistics	2025-07-14 07:00:00+00	429
system.statement_statistics	2025-07-14 06:00:00+00	86
system.statement_statistics	2025-07-14 05:00:00+00	85
system.statement_statistics	2025-07-14 04:00:00+00	77
system.statement_statistics	2025-07-14 03:00:00+00	73
system.statement_statistics	2025-07-13 18:00:00+00	60
system.statement_statistics	2025-07-13 08:00:00+00	62
system.statement_statistics	2025-07-12 23:00:00+00	65
system.statement_statistics	2025-07-12 13:00:00+00	60
system.statement_statistics	2025-07-12 12:00:00+00	63
system.statement_statistics	2025-07-12 09:00:00+00	74
system.statement_statistics	2025-07-12 08:00:00+00	75
system.statement_statistics	2025-07-11 18:00:00+00	70
system.statement_statistics	2025-07-11 14:00:00+00	70
system.statement_statistics	2025-07-11 13:00:00+00	80
system.statement_statistics	2025-07-11 12:00:00+00	86
system.statement_statistics	2025-07-11 11:00:00+00	84
system.statement_statistics	2025-07-11 10:00:00+00	82
system.statement_statistics	2025-07-11 09:00:00+00	85
system.statement_statistics	2025-07-11 08:00:00+00	88
system.statement_statistics	2025-07-11 07:00:00+00	86
system.statement_statistics	2025-07-11 06:00:00+00	72
system.statement_statistics	2025-07-11 05:00:00+00	93
system.statement_statistics	2025-07-11 02:00:00+00	74
system.statement_statistics	2025-07-10 11:00:00+00	84
system.statement_statistics	2025-07-10 10:00:00+00	86
system.statement_statistics	2025-07-10 09:00:00+00	84
system.statement_statistics	2025-07-10 08:00:00+00	94
system.statement_statistics	2025-07-10 07:00:00+00	85
system.statement_statistics	2025-07-10 06:00:00+00	83
system.statement_statistics	2025-07-10 05:00:00+00	79
system.statement_statistics	2025-07-10 04:00:00+00	67
system.statement_statistics	2025-07-10 03:00:00+00	55
system.statement_statistics	2025-07-10 02:00:00+00	59
system.statement_statistics	2025-07-10 01:00:00+00	60
system.statement_statistics	2025-07-10 00:00:00+00	63
system.statement_statistics	2025-07-09 23:00:00+00	72
system.statement_statistics	2025-07-09 22:00:00+00	64
system.statement_statistics	2025-07-09 21:00:00+00	50
system.statement_statistics	2025-07-09 20:00:00+00	61
system.statement_statistics	2025-07-09 19:00:00+00	61
system.statement_statistics	2025-07-09 18:00:00+00	64
system.statement_statistics	2025-07-09 17:00:00+00	69
system.statement_statistics	2025-07-09 16:00:00+00	66
system.statement_statistics	2025-07-09 15:00:00+00	63
system.statement_statistics	2025-07-09 14:00:00+00	60
system.statement_statistics	2025-07-09 13:00:00+00	72
system.statement_statistics	2025-07-09 12:00:00+00	79
system.statement_statistics	2025-07-09 11:00:00+00	93
system.statement_statistics	2025-07-09 10:00:00+00	484
system.statement_statistics	2025-07-09 09:00:00+00	456
system.statement_statistics	2025-07-09 08:00:00+00	433
system.statement_statistics	2025-07-09 07:00:00+00	176
system.statement_statistics	2025-07-08 06:00:00+00	78
system.statement_statistics	2025-07-08 05:00:00+00	81
system.statement_statistics	2025-07-08 04:00:00+00	84
system.statement_statistics	2025-07-07 13:00:00+00	61
system.statement_statistics	2025-07-07 11:00:00+00	77
system.statement_statistics	2025-07-07 10:00:00+00	82
system.statement_statistics	2025-07-07 09:00:00+00	94
system.statement_statistics	2025-07-07 08:00:00+00	426
system.statement_statistics	2025-07-07 07:00:00+00	464
system.statement_statistics	2025-07-07 06:00:00+00	480
system.statement_statistics	2025-07-07 05:00:00+00	472
system.statement_statistics	2025-07-07 04:00:00+00	75
system.statement_statistics	2025-07-06 19:00:00+00	73
system.statement_statistics	2025-07-06 00:00:00+00	69
system.statement_statistics	2025-07-05 06:00:00+00	66
system.statement_statistics	2025-07-04 17:00:00+00	72
system.statement_statistics	2025-07-04 14:00:00+00	83
system.statement_statistics	2025-07-04 13:00:00+00	198
system.statement_statistics	2025-07-04 12:00:00+00	292
system.statement_statistics	2025-07-04 11:00:00+00	362
system.statement_statistics	2025-07-04 10:00:00+00	394
system.statement_statistics	2025-07-04 09:00:00+00	78
system.statement_statistics	2025-07-04 08:00:00+00	80
system.statement_statistics	2025-07-04 07:00:00+00	84
system.statement_statistics	2025-07-04 06:00:00+00	81
system.statement_statistics	2025-07-04 05:00:00+00	65
system.statement_statistics	2025-07-04 01:00:00+00	66
system.statement_statistics	2025-07-03 21:00:00+00	65
system.statement_statistics	2025-07-03 17:00:00+00	75
system.statement_statistics	2025-07-03 16:00:00+00	82
system.statement_statistics	2025-07-03 15:00:00+00	72
system.statement_statistics	2025-07-03 13:00:00+00	187
system.statement_statistics	2025-07-03 12:00:00+00	184
system.statement_statistics	2025-07-03 11:00:00+00	193
system.statement_statistics	2025-07-03 10:00:00+00	196
system.statement_statistics	2025-07-03 09:00:00+00	186
system.statement_statistics	2025-07-03 08:00:00+00	185
system.statement_statistics	2025-07-03 07:00:00+00	194
system.statement_statistics	2025-07-03 06:00:00+00	79
system.statement_statistics	2025-07-03 05:00:00+00	66
system.statement_statistics	2025-07-02 23:00:00+00	70
system.statement_statistics	2025-07-02 13:00:00+00	80
system.statement_statistics	2025-07-02 12:00:00+00	82
system.statement_statistics	2025-07-02 11:00:00+00	98
system.statement_statistics	2025-07-02 10:00:00+00	102
system.statement_statistics	2025-07-02 09:00:00+00	135
system.statement_statistics	2025-07-02 08:00:00+00	75
system.statement_statistics	2025-07-02 07:00:00+00	82
system.statement_statistics	2025-07-02 06:00:00+00	176
system.statement_statistics	2025-07-02 05:00:00+00	87
system.statement_statistics	2025-07-01 14:00:00+00	65
system.statement_statistics	2025-07-01 11:00:00+00	65
system.statement_statistics	2025-07-01 10:00:00+00	83
system.statement_statistics	2025-07-01 09:00:00+00	91
system.statement_statistics	2025-07-01 08:00:00+00	80
system.statement_statistics	2025-07-01 07:00:00+00	121
system.statement_statistics	2025-07-01 06:00:00+00	80
system.statement_statistics	2025-07-01 05:00:00+00	206
system.statement_statistics	2025-07-01 04:00:00+00	109
system.statement_statistics	2025-06-30 18:00:00+00	62
system.statement_statistics	2025-06-30 16:00:00+00	74
system.statement_statistics	2025-06-30 15:00:00+00	88
system.statement_statistics	2025-06-30 12:00:00+00	65
system.statement_statistics	2025-06-30 11:00:00+00	84
system.statement_statistics	2025-06-30 10:00:00+00	88
system.statement_statistics	2025-06-30 09:00:00+00	182
system.statement_statistics	2025-06-30 08:00:00+00	90
system.statement_statistics	2025-06-30 07:00:00+00	101
system.statement_statistics	2025-06-30 06:00:00+00	82
system.statement_statistics	2025-06-30 05:00:00+00	84
system.statement_statistics	2025-06-30 04:00:00+00	88
system.statement_statistics	2025-06-29 19:00:00+00	63
system.statement_statistics	2025-06-29 15:00:00+00	66
system.statement_statistics	2025-06-29 08:00:00+00	81
system.statement_statistics	2025-06-29 07:00:00+00	84
system.statement_statistics	2025-06-29 06:00:00+00	70
system.statement_statistics	2025-06-28 21:00:00+00	59
system.statement_statistics	2025-06-28 20:00:00+00	85
system.statement_statistics	2025-06-28 19:00:00+00	85
system.statement_statistics	2025-06-28 18:00:00+00	78
system.statement_statistics	2025-06-28 17:00:00+00	83
system.statement_statistics	2025-06-28 16:00:00+00	81
system.statement_statistics	2025-06-28 15:00:00+00	94
system.statement_statistics	2025-06-28 11:00:00+00	77
system.statement_statistics	2025-06-28 10:00:00+00	155
system.statement_statistics	2025-06-28 09:00:00+00	198
system.statement_statistics	2025-06-28 08:00:00+00	250
system.statement_statistics	2025-06-28 07:00:00+00	202
system.statement_statistics	2025-06-28 06:00:00+00	76
system.statement_statistics	2025-06-28 05:00:00+00	82
system.statement_statistics	2025-06-27 15:00:00+00	68
system.statement_statistics	2025-06-27 12:00:00+00	60
system.statement_statistics	2025-06-27 11:00:00+00	131
system.statement_statistics	2025-06-27 10:00:00+00	87
