timestamp	rangeID	storeID	eventType	otherRangeID	info	uniqueID
2025-06-26 07:04:02.434306	52	1	merge	53	"{""UpdatedDesc"":{""range_id"":52,""start_key"":""ug=="",""end_key"":""vA=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":1,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":53,""start_key"":""uw=="",""end_key"":""vA=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":0,""sticky_bit"":{}}}"	1084132695944691713
2025-06-26 07:04:07.434543	57	1	merge	58	"{""UpdatedDesc"":{""range_id"":57,""start_key"":""vw=="",""end_key"":""wg=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":2,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":58,""start_key"":""wA=="",""end_key"":""wg=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":1,""sticky_bit"":{}}}"	1084132712326496257
2025-06-26 07:04:12.43573	54	1	merge	56	"{""UpdatedDesc"":{""range_id"":54,""start_key"":""vA=="",""end_key"":""vw=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":2,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":56,""start_key"":""vg=="",""end_key"":""vw=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":0,""sticky_bit"":{}}}"	1084132728731893761
2025-06-26 07:04:17.436735	52	1	merge	54	"{""UpdatedDesc"":{""range_id"":52,""start_key"":""ug=="",""end_key"":""vw=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":3,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":54,""start_key"":""vA=="",""end_key"":""vw=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":2,""sticky_bit"":{}}}"	1084132745191358465
2025-06-26 07:04:22.436527	65	1	merge	66	"{""UpdatedDesc"":{""range_id"":65,""start_key"":""xw=="",""end_key"":""zQ=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":4,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":66,""start_key"":""yA=="",""end_key"":""zQ=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":3,""sticky_bit"":{}}}"	1084132761472860161
2025-06-26 07:04:32.437486	51	1	merge	52	"{""UpdatedDesc"":{""range_id"":51,""start_key"":""uA=="",""end_key"":""vw=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":4,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":52,""start_key"":""ug=="",""end_key"":""vw=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":3,""sticky_bit"":{}}}"	1084132794259308545
2025-06-26 07:05:02.438982	72	1	merge	74	"{""UpdatedDesc"":{""range_id"":72,""start_key"":""zg=="",""end_key"":""8g=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":2,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":74,""start_key"":""0A=="",""end_key"":""8g=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":1,""sticky_bit"":{}}}"	1084132892553281537
2025-06-26 07:05:07.440012	71	1	merge	72	"{""UpdatedDesc"":{""range_id"":71,""start_key"":""zQ=="",""end_key"":""8g=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":3,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":72,""start_key"":""zg=="",""end_key"":""8g=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":2,""sticky_bit"":{}}}"	1084132909023264769
2025-06-26 07:05:12.439807	65	1	merge	71	"{""UpdatedDesc"":{""range_id"":65,""start_key"":""xw=="",""end_key"":""8g=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":5,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":71,""start_key"":""zQ=="",""end_key"":""8g=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":3,""sticky_bit"":{}}}"	1084132925358997505
2025-06-26 07:05:27.440683	51	1	merge	57	"{""UpdatedDesc"":{""range_id"":51,""start_key"":""uA=="",""end_key"":""wg=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":5,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":57,""start_key"":""vw=="",""end_key"":""wg=="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":2,""sticky_bit"":{}}}"	1084132974498185217
