job_id	job_type	description	statement	user_name	status	running_status	created	finished	modified	fraction_completed	high_water_timestamp	error	coordinator_id
1087422682615414785	AUTO CREATE STATS	Table statistics refresh for system.public.job_info	Table statistics refresh for system.public.job_info	node	succeeded	NULL	2025-07-07 21:57:46.716132+00	2025-07-07 21:57:46.94571+00	2025-07-07 21:57:46.94571+00	1	NULL		1
1087422682618396673	AUTO SQL STATS COMPACTION	automatic SQL Stats compaction	automatic SQL Stats compaction	node	succeeded	NULL	2025-07-07 21:57:46.715367+00	2025-07-07 23:18:17.525015+00	2025-07-07 23:18:17.525015+00	1	NULL		1
1087458981744312321	AUTO CREATE STATS	Table statistics refresh for system.public.job_progress	Table statistics refresh for system.public.job_progress	node	succeeded	NULL	2025-07-08 01:02:24.33116+00	2025-07-08 01:02:24.60842+00	2025-07-08 01:02:24.60842+00	1	NULL		1
1087459008813170689	AUTO SQL STATS COMPACTION	automatic SQL Stats compaction	automatic SQL Stats compaction	node	succeeded	NULL	2025-07-08 01:02:32.582658+00	2025-07-08 01:28:19.601947+00	2025-07-08 01:28:19.601947+00	1	NULL		1
1087483228411101185	AUTO SQL STATS COMPACTION	automatic SQL Stats compaction	automatic SQL Stats compaction	node	succeeded	NULL	2025-07-08 03:05:43.825144+00	2025-07-08 03:29:24.794244+00	2025-07-08 03:29:24.794244+00	1	NULL		1
1087483229815242753	AUTO CREATE STATS	Table statistics refresh for system.public.reports_meta	Table statistics refresh for system.public.reports_meta	node	succeeded	NULL	2025-07-08 03:05:44.255149+00	2025-07-08 03:05:44.632486+00	2025-07-08 03:05:44.632486+00	1	NULL		1
1087498065101127681	AUTO SQL STATS COMPACTION	automatic SQL Stats compaction	automatic SQL Stats compaction	node	succeeded	NULL	2025-07-08 04:21:11.619742+00	2025-07-08 04:21:13.833506+00	2025-07-08 04:21:13.833506+00	1	NULL		1
1087498870101049345	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_progress_history	Partial statistics update for system.public.job_progress_history	node	succeeded	NULL	2025-07-08 04:25:17.291595+00	2025-07-08 04:25:17.492073+00	2025-07-08 04:25:17.492073+00	1	NULL		1
1087501033726803969	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_info	Partial statistics update for system.public.job_info	node	succeeded	NULL	2025-07-08 04:36:17.57777+00	2025-07-08 04:36:17.775634+00	2025-07-08 04:36:17.775634+00	1	NULL		1
1087502607643049985	AUTO CREATE STATS	Table statistics refresh for system.public.statement_statistics	Table statistics refresh for system.public.statement_statistics	node	succeeded	NULL	2025-07-08 04:44:17.898888+00	2025-07-08 04:44:18.588647+00	2025-07-08 04:44:18.588647+00	1	NULL		1
1087503396587831297	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_info	Partial statistics update for system.public.job_info	node	succeeded	NULL	2025-07-08 04:48:18.66573+00	2025-07-08 04:48:18.85069+00	2025-07-08 04:48:18.85069+00	1	NULL		1
1087505735205027841	AUTO SQL STATS COMPACTION	automatic SQL Stats compaction	automatic SQL Stats compaction	node	succeeded	NULL	2025-07-08 05:00:12.348089+00	2025-07-08 05:00:30.047725+00	2025-07-08 05:00:30.047725+00	1	NULL		1
1087505953249755137	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.jobs	Partial statistics update for system.public.jobs	node	succeeded	NULL	2025-07-08 05:01:18.897029+00	2025-07-08 05:01:19.22499+00	2025-07-08 05:01:19.22499+00	1	NULL		1
1087505954562867201	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_progress	Partial statistics update for system.public.job_progress	node	succeeded	NULL	2025-07-08 05:01:19.297753+00	2025-07-08 05:01:19.484238+00	2025-07-08 05:01:19.484238+00	1	NULL		1
1087506152011857921	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_info	Partial statistics update for system.public.job_info	node	succeeded	NULL	2025-07-08 05:02:19.554408+00	2025-07-08 05:02:19.750724+00	2025-07-08 05:02:19.750724+00	1	NULL		1
1087506152866152449	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_progress	Partial statistics update for system.public.job_progress	node	succeeded	NULL	2025-07-08 05:02:19.815119+00	2025-07-08 05:02:19.981424+00	2025-07-08 05:02:19.981424+00	1	NULL		1
1087509102882455553	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.reports_meta	Partial statistics update for system.public.reports_meta	node	succeeded	NULL	2025-07-08 05:17:20.088642+00	2025-07-08 05:17:20.268685+00	2025-07-08 05:17:20.268685+00	1	NULL		1
1087509890113798145	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_progress_history	Partial statistics update for system.public.job_progress_history	node	succeeded	NULL	2025-07-08 05:21:20.332583+00	2025-07-08 05:21:20.531591+00	2025-07-08 05:21:20.531591+00	1	NULL		1
1087511267385114625	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.reports_meta	Partial statistics update for system.public.reports_meta	node	succeeded	NULL	2025-07-08 05:28:20.642434+00	2025-07-08 05:28:20.869963+00	2025-07-08 05:28:20.869963+00	1	NULL		1
1087511464979791873	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_info	Partial statistics update for system.public.job_info	node	succeeded	NULL	2025-07-08 05:29:20.943552+00	2025-07-08 05:29:21.165341+00	2025-07-08 05:29:21.165341+00	1	NULL		1
1087515201500413953	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_progress_history	Partial statistics update for system.public.job_progress_history	node	succeeded	NULL	2025-07-08 05:48:21.239142+00	2025-07-08 05:48:21.428805+00	2025-07-08 05:48:21.428805+00	1	NULL		1
1087515398991020033	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.reports_meta	Partial statistics update for system.public.reports_meta	node	succeeded	NULL	2025-07-08 05:49:21.508494+00	2025-07-08 05:49:21.679141+00	2025-07-08 05:49:21.679141+00	1	NULL		1
1087515989624160257	AUTO CREATE STATS	Table statistics refresh for system.public.job_info	Table statistics refresh for system.public.job_info	node	succeeded	NULL	2025-07-08 05:52:21.755429+00	2025-07-08 05:52:21.995652+00	2025-07-08 05:52:21.995652+00	1	NULL		1
1087517628104310785	AUTO SQL STATS COMPACTION	automatic SQL Stats compaction	automatic SQL Stats compaction	node	succeeded	NULL	2025-07-08 06:00:41.769708+00	2025-07-08 06:00:57.642604+00	2025-07-08 06:00:57.642604+00	1	NULL		1
1087517956771184641	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.statement_statistics	Partial statistics update for system.public.statement_statistics	node	succeeded	NULL	2025-07-08 06:02:22.08106+00	2025-07-08 06:02:22.265481+00	2025-07-08 06:02:22.265481+00	1	NULL		1
1087518350767751169	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.reports_meta	Partial statistics update for system.public.reports_meta	node	succeeded	NULL	2025-07-08 06:04:22.31927+00	2025-07-08 06:04:22.477384+00	2025-07-08 06:04:22.477384+00	1	NULL		1
1087518548101922817	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_info	Partial statistics update for system.public.job_info	node	succeeded	NULL	2025-07-08 06:05:22.540879+00	2025-07-08 06:05:22.711696+00	2025-07-08 06:05:22.711696+00	1	NULL		1
1087521301462974465	AUTO CREATE STATS	Table statistics refresh for system.public.reports_meta	Table statistics refresh for system.public.reports_meta	node	succeeded	NULL	2025-07-08 06:19:22.799988+00	2025-07-08 06:19:23.043081+00	2025-07-08 06:19:23.043081+00	1	NULL		1
1087522678959177729	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.reports_meta	Partial statistics update for system.public.reports_meta	node	succeeded	NULL	2025-07-08 06:26:23.178467+00	2025-07-08 06:26:23.369862+00	2025-07-08 06:26:23.369862+00	1	NULL		1
1087522876442509313	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_info	Partial statistics update for system.public.job_info	node	succeeded	NULL	2025-07-08 06:27:23.445602+00	2025-07-08 06:27:23.609761+00	2025-07-08 06:27:23.609761+00	1	NULL		1
1087523073855651841	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.reports_meta	Partial statistics update for system.public.reports_meta	node	succeeded	NULL	2025-07-08 06:28:23.691312+00	2025-07-08 06:28:23.889505+00	2025-07-08 06:28:23.889505+00	1	NULL		1
1087523958051504129	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.statement_statistics	Partial statistics update for system.public.statement_statistics	node	succeeded	NULL	2025-07-08 06:32:53.526468+00	2025-07-08 06:32:53.708562+00	2025-07-08 06:32:53.708562+00	1	NULL		1
1087524745323184129	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.reports_meta	Partial statistics update for system.public.reports_meta	node	succeeded	NULL	2025-07-08 06:36:53.782714+00	2025-07-08 06:36:53.970187+00	2025-07-08 06:36:53.970187+00	1	NULL		1
1087525532651356161	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_info	Partial statistics update for system.public.job_info	node	succeeded	NULL	2025-07-08 06:40:54.056207+00	2025-07-08 06:40:54.241619+00	2025-07-08 06:40:54.241619+00	1	NULL		1
1087525533466951681	AUTO CREATE STATS	Table statistics refresh for system.public.reports_meta	Table statistics refresh for system.public.reports_meta	node	succeeded	NULL	2025-07-08 06:40:54.305105+00	2025-07-08 06:40:54.507825+00	2025-07-08 06:40:54.507825+00	1	NULL		1
1087525730995798017	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.reports_meta	Partial statistics update for system.public.reports_meta	node	succeeded	NULL	2025-07-08 06:41:54.586121+00	2025-07-08 06:41:54.752946+00	2025-07-08 06:41:54.752946+00	1	NULL		1
1087526124961169409	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_progress_history	Partial statistics update for system.public.job_progress_history	node	succeeded	NULL	2025-07-08 06:43:54.814819+00	2025-07-08 06:43:55.017937+00	2025-07-08 06:43:55.017937+00	1	NULL		1
1087526715650310145	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_progress	Partial statistics update for system.public.job_progress	node	succeeded	NULL	2025-07-08 06:46:55.078838+00	2025-07-08 06:46:55.251594+00	2025-07-08 06:46:55.251594+00	1	NULL		1
1087819030728048641	MIGRATION	"Upgrade to 1000025.2-upgrading-to-1000025.3-step-006: ""add 'estimated_last_login_time' column to system.users table"""	"Upgrade to 1000025.2-upgrading-to-1000025.3-step-006: ""add 'estimated_last_login_time' column to system.users table"""	node	succeeded	NULL	2025-07-09 07:33:42.561051+00	2025-07-09 07:33:43.061139+00	2025-07-09 07:33:43.061139+00	1	NULL		1
1087819031065493505	SCHEMA CHANGE	ALTER TABLE system.public.users ADD COLUMN IF NOT EXISTS estimated_last_login_time TIMESTAMPTZ CREATE IF NOT EXISTS FAMILY fam_5_estimated_last_login_time	ALTER TABLE system.public.users ADD COLUMN IF NOT EXISTS estimated_last_login_time TIMESTAMPTZ CREATE IF NOT EXISTS FAMILY fam_5_estimated_last_login_time	node	succeeded	populating schema	2025-07-09 07:33:42.662537+00	2025-07-09 07:33:42.951354+00	2025-07-09 07:33:42.951354+00	1	NULL		1
1087819097911328769	NEW SCHEMA CHANGE	DROP DATABASE tpcc CASCADE	DROP DATABASE tpcc CASCADE	root	succeeded	all stages completed	2025-07-09 07:34:02.952944+00	2025-07-09 07:34:03.402223+00	2025-07-09 07:34:03.402223+00	1	NULL		1
1087819098781712385	SCHEMA CHANGE GC	GC for DROP DATABASE tpcc CASCADE	GC for DROP DATABASE tpcc CASCADE	node	succeeded	waiting for MVCC GC	2025-07-09 07:34:03.322543+00	2025-07-09 11:37:01.440277+00	2025-07-09 11:37:01.440277+00	1	NULL		1
1087819226987069441	AUTO CREATE STATS	Table statistics refresh for system.public.privileges	Table statistics refresh for system.public.privileges	node	succeeded	NULL	2025-07-09 07:34:42.454581+00	2025-07-09 07:34:42.731055+00	2025-07-09 07:34:42.731055+00	1	NULL		1
1087819228190769153	AUTO CREATE STATS	Table statistics refresh for system.public.span_stats_unique_keys	Table statistics refresh for system.public.span_stats_unique_keys	node	succeeded	NULL	2025-07-09 07:34:42.821892+00	2025-07-09 07:34:43.061657+00	2025-07-09 07:34:43.061657+00	1	NULL		1
1087819229228072961	AUTO CREATE STATS	Table statistics refresh for system.public.join_tokens	Table statistics refresh for system.public.join_tokens	node	succeeded	NULL	2025-07-09 07:34:43.138457+00	2025-07-09 07:34:43.373736+00	2025-07-09 07:34:43.373736+00	1	NULL		1
