id	status	created	created_by_type	created_by_id	claim_session_id	claim_instance_id	num_runs	last_run	job_type	owner	description	error_msg	finished
1087459008813170689	succeeded	2025-07-08 01:02:32.582658	crdb_schedule	1084131516558508033	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO SQL STATS COMPACTION	node	automatic SQL Stats compaction	NULL	2025-07-08 01:28:19.601947+00
1087483228411101185	succeeded	2025-07-08 03:05:43.825144	crdb_schedule	1084131516558508033	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO SQL STATS COMPACTION	node	automatic SQL Stats compaction	NULL	2025-07-08 03:29:24.794244+00
1087483229815242753	succeeded	2025-07-08 03:05:44.255149	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.reports_meta	NULL	2025-07-08 03:05:44.632486+00
1087498065101127681	succeeded	2025-07-08 04:21:11.619742	crdb_schedule	1084131516558508033	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO SQL STATS COMPACTION	node	automatic SQL Stats compaction	NULL	2025-07-08 04:21:13.833506+00
1087498870101049345	succeeded	2025-07-08 04:25:17.291595	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_progress_history	NULL	2025-07-08 04:25:17.492073+00
1087501033726803969	succeeded	2025-07-08 04:36:17.57777	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_info	NULL	2025-07-08 04:36:17.775634+00
1087502607643049985	succeeded	2025-07-08 04:44:17.898888	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.statement_statistics	NULL	2025-07-08 04:44:18.588647+00
1087503396587831297	succeeded	2025-07-08 04:48:18.66573	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_info	NULL	2025-07-08 04:48:18.85069+00
1087505735205027841	succeeded	2025-07-08 05:00:12.348089	crdb_schedule	1084131516558508033	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO SQL STATS COMPACTION	node	automatic SQL Stats compaction	NULL	2025-07-08 05:00:30.047725+00
1087505953249755137	succeeded	2025-07-08 05:01:18.897029	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.jobs	NULL	2025-07-08 05:01:19.22499+00
1087505954562867201	succeeded	2025-07-08 05:01:19.297753	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_progress	NULL	2025-07-08 05:01:19.484238+00
1087506152011857921	succeeded	2025-07-08 05:02:19.554408	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_info	NULL	2025-07-08 05:02:19.750724+00
1087506152866152449	succeeded	2025-07-08 05:02:19.815119	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_progress	NULL	2025-07-08 05:02:19.981424+00
1087509102882455553	succeeded	2025-07-08 05:17:20.088642	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.reports_meta	NULL	2025-07-08 05:17:20.268685+00
1087509890113798145	succeeded	2025-07-08 05:21:20.332583	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_progress_history	NULL	2025-07-08 05:21:20.531591+00
1087511267385114625	succeeded	2025-07-08 05:28:20.642434	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.reports_meta	NULL	2025-07-08 05:28:20.869963+00
1087511464979791873	succeeded	2025-07-08 05:29:20.943552	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_info	NULL	2025-07-08 05:29:21.165341+00
1087515201500413953	succeeded	2025-07-08 05:48:21.239142	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_progress_history	NULL	2025-07-08 05:48:21.428805+00
1087515398991020033	succeeded	2025-07-08 05:49:21.508494	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.reports_meta	NULL	2025-07-08 05:49:21.679141+00
