node_id	application_name	txn_count	txn_time_avg_sec	txn_time_var_sec	committed_count	implicit_count
1	$ internal-write-job-progress-delete	0	0	-0	0	0
1	$ internal-write-job-progress-history-insert	0	0	-0	0	0
1	$ internal-write-job-progress-history-prune	0	0	-0	0	0
1	$ internal-write-job-progress-insert	0	0	-0	0	0
1	$ internal-write-job-status-insert	0	0	-0	0	0
1	$$ $ cockroach sql	0	0	-0	0	0
1	$$ bank	0	0	-0	0	0
1	$$ ycsb	0	0	-0	0	0
1	bank	92386	0.012561383131546014	0.0025685507582924455	92371	92386
1	workload_generator	49468	0.012297188893486716	0.0001271430468554307	49435	1772
1	ycsb	9092715	0.0006224992116786631	3.3812310601020466e-06	9092712	9092715
