store_id	name	value
NULL	changefeed.sink_batch_hist_nanos-p99.99	0
NULL	admission.wait_durations.sql-kv-response.normal-pri-p99.9	9989.988440760104
NULL	batch_requests.cross_zone.bytes	0
NULL	jobs.history_retention.fail_or_cancel_completed	0
NULL	sql.stats.txn_stats_collection.duration-p99.999	641547.923652062
NULL	rpc.connection.healthy	2
NULL	sql.temp_object_cleaner.schemas_to_delete	0
NULL	changefeed.checkpoint.create_nanos-p75	0
NULL	admission.wait_queue_length.kv.locking-normal-pri	0
NULL	gossip.callbacks.processing_duration-avg	0
NULL	changefeed.stage.downstream_client_send.latency-max	0
NULL	changefeed.usage.query_duration-p99	0
NULL	sql.contention.txn_id_cache.read	1066
NULL	sql.stats.flush.latency-max	0
NULL	schedules.malformed	0
NULL	admission.wait_durations.kv.user-low-pri-avg	0
NULL	sql.optimizer.plan_cache.misses	1980
NULL	changefeed.checkpoint_hist_nanos-p75	0
NULL	sql.mem.sql.txn.max-p99.9	7994.202050826224
NULL	sys.host.disk.write.count	8.749857e+06
NULL	gossip.callbacks.processing_duration-p99	0
NULL	sql.exec.latency.historical.internal-p50	122269.77145683336
NULL	jobs.auto_config_runner.fail_or_cancel_retry_error	0
NULL	txn.restarts.readwithinuncertainty	0
NULL	sqlliveness.sessions_deletion_runs	7
NULL	distsender.rpc.err.transactionabortederrtype	76
NULL	changefeed.checkpoint.timestamp_count-p99	0
NULL	sql.mem.sql.session.prepared.max-p50	5107.83659612215
NULL	admission.wait_durations.sql-kv-response.bulk-low-pri-p99.9	0
NULL	sql.mem.internal.session.prepared.max-avg	4084.843137254902
NULL	sql.txns.open.internal	1
NULL	storeliveness.transport.send_dropped	0
NULL	kvflowcontrol.eval_wait.regular.duration-p90	9007.187350263535
NULL	sql.mem.internal.session.max-sum	1.67488709e+08
NULL	distsender.rpc.querytxn.sent	2297
NULL	admission.errored.elastic-cpu.normal-pri	0
NULL	kv.prober.read.failures	0
NULL	admission.requested.kv.normal-pri	1.0541244e+07
NULL	kvflowcontrol.eval_wait.regular.duration-sum	2.88891071e+08
NULL	changefeed.kafka_throttling_hist_nanos-count	0
NULL	changefeed.sink_io_inflight	0
NULL	jobs.row_level_ttl.fail_or_cancel_failed	0
NULL	kv.protectedts.reconciliation.errors	0
NULL	rpc.batches.recv	1.0897021e+07
NULL	jobs.typedesc_schema_change.protected_age_sec	0
NULL	sql.stats.flushes.failed	0
NULL	changefeed.kafka_throttling_hist_nanos-max	0
NULL	changefeed.emitted_batch_sizes-p90	0
NULL	requests.slow.distsender	0
NULL	admission.wait_durations.kv.normal-pri-p99.9	9989.997430532614
NULL	jobs.auto_create_partial_stats.protected_age_sec	0
NULL	sql.mem.sql.session.max-sum	7.252871e+06
NULL	sql.mem.root.max-p99.999	0
NULL	sql.exec.latency-count	9.444339e+06
NULL	jobs.migration.expired_pts_records	0
NULL	log.buffered.messages.dropped	0
NULL	kvflowcontrol.tokens.send.elastic.deducted.force_flush_send_queue	0
NULL	sql.txn.latency-p99.999	3.3223969553299185e+07
NULL	logical_replication.events_dlqed_space	0
NULL	jobs.replication_stream_producer.expired_pts_records	0
NULL	batch_requests.cross_region.bytes	0
NULL	jobs.new_schema_change.fail_or_cancel_failed	0
NULL	sql.txn.latency-count	9.396827e+06
NULL	sql.misc.count.internal	298
NULL	jobs.schema_change.fail_or_cancel_retry_error	0
NULL	admission.errored.sql-kv-response.bulk-low-pri	0
NULL	jobs.row_level_ttl.total_expired_rows	0
NULL	kvflowcontrol.tokens.send.elastic.deducted	4.13881068e+08
NULL	kv.rangefeed.mux_stream_send.slow_events	0
NULL	kv.streamer.batches.throttled	0
NULL	distsender.rpc.truncatelog.sent	20845
NULL	kv.prober.read.latency-p99.9	0
NULL	jobs.restore.protected_record_count	0
NULL	sql.mem.internal.txn.max-sum	3.38314316e+08
NULL	jobs.resumed_claimed_jobs	59
NULL	sys.runnable.goroutines.per.cpu	0.0017945550226659886
NULL	sql.mem.distsql.max-p50	5107.83659612215
NULL	jobs.auto_config_task.protected_age_sec	0
NULL	admission.requested.kv	1.0896669e+07
NULL	sql.txn.commit_prepared.started.count.internal	0
NULL	sql.leases.long_wait_for_no_version	0
NULL	sql.contention.resolver.failed_resolutions	134
NULL	jobs.history_retention.fail_or_cancel_failed	0
NULL	changefeed.forwarded_resolved_messages	0
NULL	distsender.rpc.endtxn.sent	704937
NULL	physical_replication.commit_latency-p99.999	0
NULL	sql.txn.latency.internal-max	3.769390975388353e+08
NULL	admission.wait_durations.sql-kv-response.normal-pri-p99.999	9999.903269959035
NULL	sql.stats.mem.max-avg	0
NULL	jobs.replication_stream_producer.resume_failed	0
NULL	admission.wait_durations.sql-kv-response-p99.99	9998.987281172176
NULL	exec.latency-p99	8.173808651878356e+06
NULL	sql.exec.latency.historical-p90	0
NULL	sql.mem.sql.max-p99	8000
NULL	round-trip-latency-p99	3.4863652276780806e+06
NULL	jobs.auto_create_stats.resume_completed	119
NULL	admission.elastic_cpu.over_limit_durations-max	0
NULL	kvflowcontrol.send_queue.count	0
NULL	changefeed.parallel_io_result_queue_nanos-p99.999	0
NULL	rpc.connection.inactive	0
NULL	admission.wait_durations.kv.user-low-pri-p99	10000
NULL	jobs.auto_create_partial_stats.currently_idle	0
NULL	changefeed.stage.rangefeed_buffer_value.latency-p99.999	0
NULL	rpc.method.requestlease.recv	0
NULL	changefeed.stage.kv_feed_buffer.latency-p90	0
NULL	distsender.rangefeed.retry.range_merged	0
NULL	changefeed.backfill_count	0
NULL	auth.scram.conn.latency-p99.999	0
NULL	obs.tablemetadata.update_job.duration-max	0
NULL	admission.wait_durations.sql-kv-response.locking-normal-pri-p99.999	10000
NULL	admission.wait_durations.elastic-cpu.bulk-normal-pri-p99.9	0
NULL	jobs.auto_sql_stats_compaction.currently_idle	0
NULL	changefeed.stage.checkpoint_job_progress.latency-p75	0
NULL	distsender.rpc.err.optimisticevalconflictserrtype	0
NULL	admission.errored.sql-sql-response	0
NULL	sql.service.latency.internal-p99	1.2725204337980025e+07
NULL	jobs.mvcc_statistics_update.fail_or_cancel_retry_error	0
NULL	sql.exec.latency.historical-max	0
NULL	distsender.rpc.export.sent	0
NULL	auth.cert.conn.latency-avg	0
NULL	changefeed.stage.downstream_client_send.latency-p99.99	0
NULL	liveness.heartbeatlatency-p75	1.9536465084793128e+07
NULL	admission.wait_durations.elastic-cpu-p99.9	0
NULL	changefeed.stage.downstream_client_send.latency-p99	0
NULL	logical_replication.batch_hist_nanos-p99.999	0
NULL	jobs.standby_read_ts_poller.resume_completed	0
NULL	kv.prober.read.latency-p99.999	0
NULL	changefeed.usage.query_duration-p75	0
NULL	cloud.tls_handshakes	0
NULL	auth.gss.conn.latency-p50	0
NULL	jobs.mvcc_statistics_update.fail_or_cancel_failed	0
NULL	jobs.new_schema_change.fail_or_cancel_retry_error	0
NULL	sql.mem.bulk.max-p50	0
NULL	physical_replication.running	0
NULL	sql.call_stored_proc.started.count	0
NULL	changefeed.checkpoint.create_nanos-p90	0
NULL	round-trip-latency-p99.9	4.406236427773566e+06
NULL	physical_replication.commit_latency-max	0
NULL	distsender.rpc.err.rangekeymismatcherrtype	1
NULL	admission.wait_durations.kv.user-low-pri-max	10000
NULL	admission.wait_durations.sql-kv-response.bulk-low-pri-p99.999	0
NULL	kvflowcontrol.streams.eval.elastic.total_count	1
NULL	changefeed.message_size_hist-sum	0
NULL	jobs.row_level_ttl.rows_deleted	0
NULL	sql.distsql.distributed_exec.count	0
NULL	jobs.mvcc_statistics_update.expired_pts_records	0
NULL	admission.wait_durations.sql-kv-response.normal-pri-p99	9899.981137642013
NULL	schedules.error	0
NULL	distsender.rpc.err.transactionretryerrtype	1668
NULL	admission.wait_durations.kv.high-pri-p50	5384.615384615385
NULL	distsender.rpc.err.notleaseholdererrtype	0
NULL	jobs.logical_replication.fail_or_cancel_failed	0
NULL	changefeed.stage.encode.latency-p99.9	0
NULL	sql.stats.reported.mem.max-sum	0
NULL	sql.guardrails.full_scan_rejected.count	0
NULL	sql.mem.sql.session.max-p99.999	8000
NULL	auth.jwt.conn.latency-max	0
NULL	schedules.scheduled-schema-telemetry-executor.succeeded	0
NULL	sql.service.latency-p50	105364.10383141492
NULL	jobs.auto_create_partial_stats.resume_completed	76
NULL	jobs.auto_update_sql_activity.fail_or_cancel_completed	0
NULL	admission.wait_queue_length.elastic-cpu.bulk-normal-pri	0
NULL	jobs.row_level_ttl.delete_duration-p99.99	0
NULL	sql.mem.internal.max-p90	7422.455848687987
NULL	changefeed.stage.rangefeed_buffer_value.latency-p75	0
NULL	distsender.rpc.err.readwithinuncertaintyintervalerrtype	0
NULL	sql.restart_savepoint.started.count.internal	0
NULL	sql.exec.latency.historical-avg	0
NULL	jobs.auto_sql_stats_compaction.resume_completed	17
NULL	auth.ldap.conn.latency-p99.9	0
NULL	sql.statements.auto_retry.count	0
NULL	raft.transport.send-queue-size	0
NULL	sql.mem.internal.session.prepared.max-max	8000
NULL	cloud.read_bytes	0
NULL	sql.delete.count	223
NULL	distsender.rpc.err.writetooolderrtype	269
NULL	distsender.rpc.err.refreshfailederrtype	0
NULL	admission.wait_durations.sql-kv-response.normal-pri-count	9.3241e+06
NULL	admission.wait_durations.elastic-cpu.bulk-low-pri-p75	8000
NULL	admission.requested.sql-kv-response	1.013064e+07
NULL	admission.wait_durations.elastic-cpu-p90	0
NULL	schedules.BACKUP.succeeded	0
NULL	jobs.update_table_metadata_cache.fail_or_cancel_retry_error	0
NULL	sql.conns	3
NULL	logical_replication.scanning_ranges	0
NULL	admission.admitted.elastic-cpu.bulk-low-pri	522
NULL	auth.cert.conn.latency-sum	0
NULL	sql.exec.latency.consistent.internal-p99.999	9.249147277217315e+07
NULL	jobs.import.protected_age_sec	0
NULL	round-trip-latency-p75	855467.2535565672
NULL	sql.copy.nonatomic.started.count.internal	0
NULL	distsender.batch_responses.cross_zone.bytes	0
NULL	sql.service.latency.internal-p99.999	2.9824712862168837e+08
NULL	changefeed.parallel_io_queue_nanos-p50	0
NULL	changefeed.batch_reduction_count	0
NULL	jobs.key_visualizer.fail_or_cancel_completed	0
NULL	jobs.key_visualizer.protected_record_count	0
NULL	changefeed.stage.emit_row.latency-p99.999	0
NULL	admission.errored.kv.normal-pri	0
NULL	jobs.auto_schema_telemetry.resume_failed	0
NULL	logical_replication.replicated_time_seconds	0
NULL	changefeed.buffer_entries_mem.acquired.rangefeed	0
NULL	sql.txn.abort.count.internal	0
NULL	sql.txn.latency.internal-p99.9	3.769390975388353e+08
NULL	sql.service.latency.consistent-p99.9	1.3980138481130095e+07
NULL	admission.wait_durations.kv.high-pri-p99.999	10000
NULL	admission.wait_durations.kv.normal-pri-max	10000
NULL	jobs.replication_stream_producer.protected_record_count	0
NULL	distsender.rpc.err.replicaunavailableerrtype	0
NULL	sql.stats.flush.latency-p50	0
NULL	jobs.schema_change_gc.protected_record_count	0
NULL	changefeed.flush_hist_nanos-sum	0
NULL	changefeed.parallel_io_queue_nanos-count	0
NULL	admission.elastic_cpu.utilization	0
NULL	sys.gc.count	635
NULL	admission.wait_durations.sql-kv-response.user-high-pri-sum	1.2770958e+07
NULL	sql.disk.distsql.max-p99.99	0
NULL	auth.gss.conn.latency-p75	0
NULL	jobs.history_retention.expired_pts_records	0
NULL	admission.wait_durations.kv.locking-normal-pri-p75	7486.338797814208
NULL	admission.admitted.sql-sql-response.normal-pri	0
NULL	jobs.restore.fail_or_cancel_failed	0
NULL	sql.stats.mem.max-p99.99	0
NULL	sql.mem.sql.session.max-p99.9	8000
NULL	sql.exec.latency-p90	318118.535396347
NULL	sql.service.latency.historical.internal-p75	930705.086063247
NULL	sql.conn.latency-p50	265294.8464431894
NULL	admission.wait_durations.sql-kv-response-p99	9900.017032089376
NULL	distsender.rpc.conditionalput.sent	738092
NULL	jobs.migration.resume_retry_error	0
NULL	sql.mem.sql.session.prepared.max-avg	5395
NULL	txn.rollbacks.failed	7
NULL	sql.disk.distsql.current	0
NULL	jobs.import_rollback.fail_or_cancel_failed	0
NULL	changefeed.checkpoint.total_bytes-p99.999	0
NULL	sql.service.latency.historical.internal-avg	5.9888234e+06
NULL	sql.query.count	1.0274803e+07
NULL	kvflowcontrol.tokens.send.regular.unaccounted	0
NULL	sql.copy.count.internal	0
NULL	admission.wait_durations.sql-kv-response.user-low-pri-p50	5000
NULL	log.fluent.sink.conn.errors	0
NULL	admission.wait_queue_length.kv.user-high-pri	0
NULL	gossip.infos.received	0
NULL	admission.wait_durations.kv.locking-normal-pri-p99.99	10000
NULL	jobs.restore.currently_running	0
NULL	sys.go.pause.other.ns	4.36164608e+08
NULL	gossip.callbacks.pending_duration-p99.9	0
NULL	admission.wait_durations.kv.user-high-pri-p99.9	0
NULL	admission.wait_durations.kv.user-high-pri-count	45900
NULL	jobs.mvcc_statistics_update.resume_failed	0
NULL	rpc.method.barrier.recv	0
NULL	admission.wait_durations.kv.high-pri-p99	10000
NULL	admission.wait_queue_length.kv.user-low-pri	0
NULL	gossip.messages.received	0
NULL	sql.exec.latency.consistent-count	9.444339e+06
NULL	jobs.poll_jobs_stats.fail_or_cancel_completed	0
NULL	go.scheduler_latency-p99.99	163839.99999999997
NULL	admission.wait_durations.sql-kv-response.user-low-pri-sum	0
NULL	admission.wait_durations.kv.locking-normal-pri-p99.9	10000
NULL	logical_replication.commit_latency-p99.99	0
NULL	changefeed.stage.kv_feed_wait_for_table_event.latency-sum	0
NULL	changefeed.checkpoint.total_bytes-sum	0
NULL	sql.mem.sql.txn.current	10240
NULL	changefeed.stage.rangefeed_buffer_checkpoint.latency-p99	0
NULL	sql.hydrated_type_cache.misses	0
NULL	kv.prober.write.latency-avg	0
NULL	sql.service.latency.consistent-p99.999	3.3223969553299185e+07
NULL	rpc.method.adminscatter.recv	9
NULL	sql.service.latency.historical-sum	0
NULL	changefeed.stage.encode.latency-p99.99	0
NULL	jobs.replication_stream_producer.fail_or_cancel_retry_error	0
NULL	changefeed.nprocs_consume_event_nanos-p50	0
NULL	admission.wait_durations.kv.high-pri-p99.99	10000
NULL	sql.mem.sql.session.prepared.max-sum	7.019906e+06
NULL	logical_replication.events_initial_failure	0
NULL	changefeed.checkpoint.timestamp_count-p99.9	0
NULL	rpc.streams.mux_rangefeed.active	13
NULL	rpc.method.deleterange.recv	9462
NULL	admission.wait_durations.kv-p50	5000.022920744649
NULL	kv.prober.write.failures	0
NULL	obs.tablemetadata.update_job.table_updates	0
NULL	jobs.import.currently_running	0
NULL	jobs.import_rollback.fail_or_cancel_completed	0
NULL	jobs.schema_change_gc.fail_or_cancel_retry_error	0
NULL	raft.transport.send-queue-bytes	0
NULL	changefeed.parallel_io_queue_nanos-p75	0
NULL	changefeed.stage.encode.latency-sum	0
NULL	sql.distsql.cumulative_contention_nanos	1.4116579142e+10
NULL	changefeed.admit_latency-max	0
NULL	distsender.rpc.isspanempty.sent	555
NULL	jobs.row_level_ttl.select_duration-p90	0
NULL	jobs.sql_activity_flush.protected_age_sec	0
NULL	changefeed.checkpoint.timestamp_count-p90	0
NULL	auth.password.conn.latency-p99.99	0
NULL	logical_replication.checkpoint_events_ingested	0
NULL	txn.restarts-p90	0
NULL	jobs.new_schema_change.resume_failed	0
NULL	sql.statement_timeout.count	0
NULL	txn.restarts.commitdeadlineexceeded	0
NULL	sql.distsql.dist_query_rerun_locally.failure_count	0
NULL	storeliveness.transport.received	53470
NULL	sql.service.latency.internal-sum	1.91124595198e+11
NULL	round-trip-latency-p99.999	4.406236427773566e+06
NULL	jobs.key_visualizer.protected_age_sec	0
NULL	sql.mem.internal.max-p99.9	7995.5573526822145
NULL	sql.savepoint.release.started.count	0
NULL	jobs.schema_change.currently_idle	0
NULL	jobs.row_level_ttl.currently_paused	0
NULL	sql.distsql.service.latency-p99.999	0
NULL	sql.mem.distsql.max-p99.999	7999.944051159656
NULL	jobs.auto_sql_stats_compaction.fail_or_cancel_retry_error	0
NULL	sql.pgwire_cancel.successful	0
NULL	changefeed.checkpoint.create_nanos-p99.99	0
NULL	sql.service.latency.historical.internal-p99.9	2.9824712862168837e+08
NULL	rpc.method.probe.recv	0
NULL	admission.requested.sql-kv-response.bulk-low-pri	90
NULL	admission.wait_queue_length.sql-kv-response.user-low-pri	0
NULL	sql.mem.distsql.max-p99.99	7999.412537176392
NULL	jobs.key_visualizer.fail_or_cancel_retry_error	0
NULL	jobs.auto_config_task.protected_record_count	0
NULL	admission.wait_durations.elastic-cpu.bulk-low-pri-p99	10000
NULL	jobs.auto_config_runner.expired_pts_records	0
NULL	jobs.row_level_ttl.span_total_duration-p99.99	0
NULL	jobs.import_rollback.protected_record_count	0
NULL	jobs.new_schema_change.resume_retry_error	0
NULL	distsender.rpc.queryintent.sent	167521
NULL	physical_replication.commit_latency-sum	0
NULL	distsender.rpc.sent.nextreplicaerror	0
NULL	sql.service.latency.internal-p90	907554.9837534995
NULL	sql.service.latency.internal-p75	185004.28995259182
NULL	txn.durations-p99.999	1.672279371945212e+08
NULL	admission.wait_queue_length.sql-kv-response.locking-normal-pri	0
NULL	sql.mem.conns.max-p99.999	0
NULL	auth.password.conn.latency-count	0
NULL	sql.service.latency.consistent.internal-p99.99	9.249147277217315e+07
NULL	jobs.logical_replication.currently_idle	0
NULL	admission.admitted.kv.bulk-normal-pri	318
NULL	kv.prober.write.latency-p99.999	0
NULL	changefeed.stage.checkpoint_job_progress.latency-max	0
NULL	logical_replication.events_dlqed	0
NULL	sql.stats.activity.update.latency-p99.99	0
NULL	auth.jwt.conn.latency-p90	0
NULL	changefeed.stage.kv_feed_wait_for_table_event.latency-max	0
NULL	gossip.connections.refused	0
NULL	sql.query.count.internal	48085
