session_id	txn_id	txn_fingerprint_id	stmt_id	stmt_fingerprint_id	problem	causes	query	status	start_time	end_time	full_scan	user_name	app_name	database_name	plan_gist	rows_read	rows_written	priority	retries	last_retry_reason	exec_node_ids	kv_node_ids	contention	index_recommendations	implicit_txn	cpu_sql_nanos	error_code	last_error_redactable	query_tags
18547b231254ca000000000000000001	f325b069-d384-4d97-a047-a96d7f91c8a9	\x57c57d6e0d04967e	18547b236ae34e580000000000000001	\x9d8e4476d12c89f6	None	{}	SET statement_timeout = _	Completed	2025-07-22 05:19:07.001331	2025-07-22 05:19:07.001356	f	root	$ internal cockroach zip	system	Ais=	0	0	normal	0	NULL	{}	{}	NULL	{}	f	0	NULL	NULL	[]
18547b231254ca000000000000000001	f325b069-d384-4d97-a047-a96d7f91c8a9	\x57c57d6e0d04967e	18547b236ae959380000000000000001	\xe059da4c2ce409d5	SlowExecution	{}	SELECT max(ss.aggregated_ts), ss.fingerprint_id, ss.transaction_fingerprint_id, ss.plan_hash, ss.app_name, ss.agg_interval, merge_stats_metadata(ss.metadata) AS metadata, merge_statement_stats(ss.statistics) AS statistics, ss.plan, ss.index_recommendations FROM system.public.statement_statistics AS ss WHERE (aggregated_ts > (now() - _::INTERVAL)) AND ((transaction_fingerprint_id IN (SELECT DISTINCT (blocking_txn_fingerprint_id) FROM crdb_internal.transaction_contention_events WHERE blocking_txn_fingerprint_id != _ UNION SELECT DISTINCT (waiting_txn_fingerprint_id) FROM crdb_internal.transaction_contention_events WHERE blocking_txn_fingerprint_id != _)) OR (transaction_fingerprint_id IN (SELECT ss_cpu.transaction_fingerprint_id FROM system.public.statement_statistics AS ss_cpu GROUP BY ss_cpu.transaction_fingerprint_id, ss_cpu.cpu_sql_nanos ORDER BY ss_cpu.cpu_sql_nanos DESC LIMIT _))) GROUP BY ss.aggregated_ts, ss.app_name, ss.fingerprint_id, ss.transaction_fingerprint_id, ss.plan_hash, ss.agg_interval, ss.plan, ss.index_recommendations LIMIT _	Completed	2025-07-22 05:19:07.004865	2025-07-22 05:19:07.136881	t	root	$ internal cockroach zip	system	AgFUAgDfFwIAAAGy////PwAACAAAAAMNAbL///8/AAAoAAAAAwUCDQ4AAVQCAISAAgAAAA0YBQIDCxAXBRQGFA==	32632	0	normal	0	NULL	{1}	{1}	00:00:00	{}	f	23857438	NULL	NULL	[]
18547b231254ca000000000000000001	4ee3d550-63f1-4b7e-a09c-6435195589d2	\x9be027768ca8ed66	18547b236ad368080000000000000001	\x9d8e4476d12c89f6	None	{}	SET statement_timeout = _	Completed	2025-07-22 05:19:07.000298	2025-07-22 05:19:07.000337	f	root	$ internal cockroach zip	system	Ais=	0	0	normal	0	NULL	{}	{}	NULL	{}	f	0	NULL	NULL	[]
18547b231254ca000000000000000001	4ee3d550-63f1-4b7e-a09c-6435195589d2	\x9be027768ca8ed66	18547b236ad6cf200000000000000001	\x2c7c8054ad4872cd	None	{}	TABLE system.statement_diagnostics_requests	Completed	2025-07-22 05:19:07.000635	2025-07-22 05:19:07.000951	t	root	$ internal cockroach zip	system	AgFGAgD/HwAAAAYY	0	0	normal	0	NULL	{1}	{1}	00:00:00	{}	f	6292	NULL	NULL	[]
18547b231254ca000000000000000001	30fe899d-d3b5-4755-992a-aa25d0a86a57	\x3375ca44cf9c834d	18547b2369970fa80000000000000001	\x9d8e4476d12c89f6	None	{}	SET statement_timeout = _	Completed	2025-07-22 05:19:06.979561	2025-07-22 05:19:06.979591	f	root	$ internal cockroach zip	system	Ais=	0	0	normal	0	NULL	{}	{}	NULL	{}	f	0	NULL	NULL	[]
18547b231254ca000000000000000001	30fe899d-d3b5-4755-992a-aa25d0a86a57	\x3375ca44cf9c834d	18547b23699a01900000000000000001	\x84e96d66ee7c1ce6	None	{}	TABLE system.statement_diagnostics	Completed	2025-07-22 05:19:06.999423	2025-07-22 05:19:07.01929	t	root	$ internal cockroach zip	system	AgFIAgB/AAAABg4=	0	0	normal	0	NULL	{1}	{1}	00:00:00	{}	f	6874	NULL	NULL	[]
18547b231254ca000000000000000001	e03c39eb-1e4a-49bd-af54-61b9b6e5f9de	\x65b2527cf88ad3ae	18547b236847a8600000000000000001	\x9d8e4476d12c89f6	None	{}	SET statement_timeout = _	Completed	2025-07-22 05:19:06.957601	2025-07-22 05:19:06.957662	f	root	$ internal cockroach zip	system	Ais=	0	0	normal	0	NULL	{}	{}	NULL	{}	f	0	NULL	NULL	[]
18547b231254ca000000000000000001	e03c39eb-1e4a-49bd-af54-61b9b6e5f9de	\x65b2527cf88ad3ae	18547b23684d3e100000000000000001	\xd22ef55ed96a4c05	None	{}	TABLE system.sqlliveness	Completed	2025-07-22 05:19:06.978126	2025-07-22 05:19:06.999131	t	root	$ internal cockroach zip	system	AgFOBAAHAAAABgY=	1	0	normal	0	NULL	{1}	{1}	00:00:00	{}	f	5833	NULL	NULL	[]
18547b231254ca000000000000000001	12e824b2-949d-449f-9f19-9bde95bde93e	\x675f9bc89ac7818a	18547b23652c9d200000000000000001	\x9d8e4476d12c89f6	None	{}	SET statement_timeout = _	Completed	2025-07-22 05:19:06.905474	2025-07-22 05:19:06.905498	f	root	$ internal cockroach zip	system	Ais=	0	0	normal	0	NULL	{}	{}	NULL	{}	f	0	NULL	NULL	[]
18547b231254ca000000000000000001	12e824b2-949d-449f-9f19-9bde95bde93e	\x675f9bc89ac7818a	18547b2365315fe00000000000000001	\xd0c33ceabb271e21	None	{}	SELECT table_name, aggregated_ts, row_count FROM (SELECT _ AS table_name, aggregated_ts, count(*) AS row_count FROM system.statement_statistics GROUP BY aggregated_ts UNION SELECT _ AS table_name, aggregated_ts, count(*) AS row_count FROM system.transaction_statistics GROUP BY aggregated_ts UNION SELECT _ AS table_name, aggregated_ts, count(*) AS row_count FROM system.statement_activity GROUP BY aggregated_ts UNION SELECT _ AS table_name, aggregated_ts, count(*) AS row_count FROM system.transaction_activity GROUP BY aggregated_ts) ORDER BY table_name, aggregated_ts DESC	Completed	2025-07-22 05:19:06.928472	2025-07-22 05:19:06.97865	t	root	$ internal cockroach zip	system	AgFUBAABAAAACwIRBwYBVgQAAQAAAAsCEQcGDwABegYAAQAAAAsCEQcGDwABfAYAAQAAAAsCEQcGDwAGBg==	59237	0	normal	0	NULL	{1}	{1}	00:00:00	{}	f	12344407	NULL	NULL	[]
18547b231254ca000000000000000001	197f7134-cfde-4ee8-9fa0-6ac6b00255a1	\x23fd8237cbb08fc4	18547b23651df7200000000000000001	\x9d8e4476d12c89f6	None	{}	SET statement_timeout = _	Completed	2025-07-22 05:19:06.904511	2025-07-22 05:19:06.904531	f	root	$ internal cockroach zip	system	Ais=	0	0	normal	0	NULL	{}	{}	NULL	{}	f	0	NULL	NULL	[]
18547b231254ca000000000000000001	197f7134-cfde-4ee8-9fa0-6ac6b00255a1	\x23fd8237cbb08fc4	18547b236520e9080000000000000001	\x94612515ea50106f	None	{}	TABLE system.sql_instances	Completed	2025-07-22 05:19:06.904793	2025-07-22 05:19:06.905036	t	root	$ internal cockroach zip	system	AgFcBAD/AQAAAAYQ	11	0	normal	0	NULL	{1}	{1}	00:00:00	{}	f	10541	NULL	NULL	[]
18547b231254ca000000000000000001	b2092fa9-0dee-43d7-8a7f-19485b9c5716	\x1268b36353a6100d	18547b23650cd4680000000000000001	\x9d8e4476d12c89f6	None	{}	SET statement_timeout = _	Completed	2025-07-22 05:19:06.903389	2025-07-22 05:19:06.90341	f	root	$ internal cockroach zip	system	Ais=	0	0	normal	0	NULL	{}	{}	NULL	{}	f	0	NULL	NULL	[]
18547b231254ca000000000000000001	b2092fa9-0dee-43d7-8a7f-19485b9c5716	\x1268b36353a6100d	18547b23650fca380000000000000001	\xa5f4144172468fa6	None	{}	TABLE system.span_configurations	Completed	2025-07-22 05:19:06.903654	2025-07-22 05:19:06.903986	t	root	$ internal cockroach zip	system	AgFeAgAHAAAABgY=	83	0	normal	0	NULL	{1}	{1}	00:00:00	{}	f	29415	NULL	NULL	[]
18547b231254ca000000000000000001	4df22204-fc1b-43a3-9995-8db9d1a73793	\x9d638ab46bb43568	18547b2364fe7c880000000000000001	\x9d8e4476d12c89f6	None	{}	SET statement_timeout = _	Completed	2025-07-22 05:19:06.90245	2025-07-22 05:19:06.902475	f	root	$ internal cockroach zip	system	Ais=	0	0	normal	0	NULL	{}	{}	NULL	{}	f	0	NULL	NULL	[]
18547b231254ca000000000000000001	4df22204-fc1b-43a3-9995-8db9d1a73793	\x9d638ab46bb43568	18547b236501fb100000000000000001	\x2aff2d964a54aac3	None	{}	SELECT * FROM system.settings	Completed	2025-07-22 05:19:06.902717	2025-07-22 05:19:06.902947	t	root	$ internal cockroach zip	system	AgEMAgAPAAAABgg=	3	0	normal	0	NULL	{1}	{1}	00:00:00	{}	f	5833	NULL	NULL	[]
18547b231254ca000000000000000001	01f38b42-2485-4d61-bb31-736a8dafe218	\xcf0d49a95a399bff	18547b2364ee6b400000000000000001	\x9d8e4476d12c89f6	None	{}	SET statement_timeout = _	Completed	2025-07-22 05:19:06.901405	2025-07-22 05:19:06.901446	f	root	$ internal cockroach zip	system	Ais=	0	0	normal	0	NULL	{}	{}	NULL	{}	f	0	NULL	NULL	[]
18547b231254ca000000000000000001	01f38b42-2485-4d61-bb31-736a8dafe218	\xcf0d49a95a399bff	18547b2364f1de100000000000000001	\x7891ee8b7bd90454	None	{}	TABLE system.scheduled_jobs	Completed	2025-07-22 05:19:06.901674	2025-07-22 05:19:06.901942	t	root	$ internal cockroach zip	system	AgFKAgD/BwAAAAYU	2	0	normal	0	NULL	{1}	{1}	00:00:00	{}	f	15750	NULL	NULL	[]
18547b231254ca000000000000000001	25e513f2-7f3c-48e3-a779-10b4b2733406	\x7bac73d8d3fae4a6	18547b236369bb580000000000000001	\x9d8e4476d12c89f6	None	{}	SET statement_timeout = _	Completed	2025-07-22 05:19:06.875928	2025-07-22 05:19:06.87596	f	root	$ internal cockroach zip	system	Ais=	0	0	normal	0	NULL	{}	{}	NULL	{}	f	0	NULL	NULL	[]
18547b231254ca000000000000000001	25e513f2-7f3c-48e3-a779-10b4b2733406	\x7bac73d8d3fae4a6	18547b23636c8a180000000000000001	\xcc30d4faf21a7b0d	None	{}	TABLE system.role_options	Completed	2025-07-22 05:19:06.900479	2025-07-22 05:19:06.925054	t	root	$ internal cockroach zip	system	AgFCAgAPAAAABgg=	0	0	normal	0	NULL	{1}	{1}	00:00:00	{}	f	6249	NULL	NULL	[]
18547b231254ca000000000000000001	b3b9f013-51dd-42ea-a17b-d81cd86b831d	\x5f4360c28a35c8e3	18547b23635554b00000000000000001	\x9d8e4476d12c89f6	None	{}	SET statement_timeout = _	Completed	2025-07-22 05:19:06.874602	2025-07-22 05:19:06.874649	f	root	$ internal cockroach zip	system	Ais=	0	0	normal	0	NULL	{}	{}	NULL	{}	f	0	NULL	NULL	[]
18547b231254ca000000000000000001	b3b9f013-51dd-42ea-a17b-d81cd86b831d	\x5f4360c28a35c8e3	18547b23635a75300000000000000001	\xe8dfc7e0abd55748	None	{}	TABLE system.role_members	Completed	2025-07-22 05:19:06.875088	2025-07-22 05:19:06.875478	t	root	$ internal cockroach zip	system	AgEuAgAfAAAABgo=	1	0	normal	0	NULL	{1}	{1}	00:00:00	{}	f	11166	NULL	NULL	[]
18547b231254ca000000000000000001	170c9295-79cb-4baa-b1fb-6c70a4d580ad	\xfcf007d68e53c9c7	18547b23621d7ca80000000000000001	\x9d8e4476d12c89f6	None	{}	SET statement_timeout = _	Completed	2025-07-22 05:19:06.854149	2025-07-22 05:19:06.854173	f	root	$ internal cockroach zip	system	Ais=	0	0	normal	0	NULL	{}	{}	NULL	{}	f	0	NULL	NULL	[]
