store_id	name	value
NULL	distsender.rpc.err.errordetailtype(29)	0
NULL	admission.wait_durations.elastic-cpu.bulk-normal-pri-p75	0
NULL	rpc.streams.mux_rangefeed.recv	16
NULL	changefeed.network.bytes_in	0
NULL	jobs.mvcc_statistics_update.resume_retry_error	1
NULL	kvflowcontrol.tokens.eval.regular.deducted	2.10854166e+08
NULL	jobs.hot_ranges_logger.fail_or_cancel_retry_error	0
NULL	schedules.scheduled-sql-stats-compaction-executor.failed	0
NULL	sys.host.disk.write.bytes	1.35421120512e+11
NULL	kv.rangefeed.mux_stream_send.latency-p99.9	82272.41341700466
NULL	physical_replication.flush_hist_nanos-p90	0
NULL	distsender.rpc.err.writeintenterrtype	1
NULL	changefeed.backfill_pending_ranges	0
NULL	sql.txn.upgraded_iso_level.count	0
NULL	changefeed.checkpoint.total_bytes-p99	0
NULL	kv.prober.read.latency-count	0
NULL	jobs.auto_config_env_runner.currently_idle	0
NULL	sql.exec.latency.historical.internal-p99.99	3.769390975388353e+08
NULL	auth.ldap.conn.latency-p99.999	0
NULL	jobs.migration.protected_record_count	0
NULL	go.scheduler_latency-p99.999	1.8350079999999998e+06
NULL	jobs.migration.expired_pts_records	0
NULL	jobs.auto_sql_stats_compaction.resume_failed	0
NULL	admission.wait_durations.sql-kv-response.locking-normal-pri-p99.9	9990.68207230712
NULL	kvflowcontrol.eval_wait.regular.duration-p50	5004.191817572099
NULL	storeliveness.transport.send-queue-idle	0
NULL	sql.distsql.exec.latency.internal-p99.9	2.868316813342006e+07
NULL	changefeed.stage.rangefeed_buffer_value.latency-max	0
NULL	sql.txn.prepare.started.count	0
NULL	sql.distsql.exec.latency-p75	0
NULL	txn.restarts-p99.999	0
NULL	admission.wait_durations.kv.locking-normal-pri-p99	9898.63152559554
NULL	admission.wait_durations.kv.user-high-pri-p99.9	0
NULL	admission.wait_durations.sql-kv-response.locking-normal-pri-sum	5.5419082e+07
NULL	sql.call_stored_proc.started.count.internal	0
NULL	sql.mem.sql.max-count	1239
NULL	sql.exec.latency.historical.internal-p75	535566.6917706894
NULL	distsender.rpc.addsstable.sent	2
NULL	admission.wait_durations.kv.user-high-pri-p99	0
NULL	admission.wait_durations.sql-kv-response.user-low-pri-avg	0
NULL	sql.update.started.count	116928
NULL	changefeed.buffer_entries_mem.acquired.rangefeed	0
NULL	jobs.migration.fail_or_cancel_failed	0
NULL	changefeed.checkpoint.total_bytes-max	0
NULL	admission.elastic_cpu.over_limit_durations-avg	0
NULL	rpc.method.checkconsistency.recv	0
NULL	admission.wait_durations.sql-sql-response.normal-pri-count	0
NULL	sql.service.latency.historical-count	0
NULL	jobs.row_level_ttl.span_total_duration-avg	0
NULL	sql.mem.sql.txn.max-avg	4707.833701657459
NULL	admission.wait_durations.kv-p90	9000
NULL	jobs.auto_create_partial_stats.resume_completed	69
NULL	sys.runnable.goroutines.per.cpu	0.0017572239243349903
NULL	rpc.method.refreshrange.recv	93
NULL	kv.prober.write.latency-p99.9	0
NULL	admission.requested.sql-sql-response.normal-pri	0
NULL	sql.stats.activity.update.latency-sum	3.784694e+09
NULL	changefeed.nprocs_consume_event_nanos-p75	0
NULL	admission.wait_durations.kv.user-high-pri-avg	0
NULL	sql.mem.distsql.max-p99	7942.444509375565
NULL	txn.refresh.memory_limit_exceeded	0
NULL	jobs.backup.protected_record_count	0
NULL	txn.restarts.writetooold	1
NULL	rpc.method.subsume.recv	9
NULL	jobs.history_retention.fail_or_cancel_retry_error	0
NULL	sql.mem.internal.session.prepared.max-p99	7944.381473002349
NULL	sql.stats.txn_stats_collection.duration-p50	5057.663690476191
NULL	sql.txn.commit.started.count.internal	0
NULL	tenant.consumption.pgwire_egress_bytes	0
NULL	jobs.migration.protected_age_sec	0
NULL	kvflowcontrol.eval_wait.regular.requests.bypassed	32
NULL	jobs.auto_config_env_runner.resume_completed	0
NULL	changefeed.checkpoint.span_count-p75	0
NULL	sys.go.stop.other.ns	5.954656e+07
NULL	sql.stats.mem.max-p75	0
NULL	timeseries.write.bytes	8.96771889e+08
NULL	jobs.auto_config_task.resume_failed	0
NULL	changefeed.emitted_batch_sizes-avg	0
NULL	changefeed.nprocs_flush_nanos-p50	0
NULL	jobs.update_table_metadata_cache.resume_completed	0
NULL	jobs.create_stats.fail_or_cancel_failed	0
NULL	admission.wait_durations.elastic-cpu.bulk-low-pri-p99.99	0
NULL	kv.prober.read.latency-p90	0
NULL	distsender.rangefeed.retry.store_not_found	0
NULL	jobs.import.currently_running	0
NULL	jobs.mvcc_statistics_update.resume_completed	0
NULL	admission.wait_durations.elastic-cpu.bulk-normal-pri-p50	0
NULL	sql.distsql.exec.latency.internal-p50	384440.3600002057
NULL	sql.exec.latency.consistent.internal-sum	1.23803717219e+11
NULL	jobs.new_schema_change.currently_running	0
NULL	sql.stats.reported.mem.current	757760
NULL	physical_replication.admit_latency-p99.99	0
NULL	changefeed.message_size_hist-count	0
NULL	sql.conns	3
NULL	admission.wait_durations.sql-sql-response.normal-pri-p99.999	0
NULL	admission.wait_durations.kv.user-high-pri-p90	0
NULL	jobs.row_level_ttl.currently_running	0
NULL	sql.mem.sql.session.prepared.max-p50	5107.83659612215
NULL	sql.distsql.service.latency-p90	0
NULL	admission.wait_durations.sql-sql-response.locking-normal-pri-p75	0
NULL	admission.wait_durations.elastic-cpu.bulk-normal-pri-count	0
NULL	admission.wait_durations.kv.normal-pri-p75	7500.091854355734
NULL	sql.mem.sql.session.max-p99.99	8000
NULL	sql.ddl.count	106
NULL	changefeed.emitted_batch_sizes-p99.99	0
NULL	logical_replication.retry_queue_events	0
NULL	sql.stats.mem.max-count	0
NULL	admission.wait_durations.kv.bulk-normal-pri-count	285
NULL	distsender.rpc.admintransferlease.sent	0
NULL	changefeed.buffer_entries_mem.acquired	0
NULL	jobs.row_level_ttl.total_rows	0
NULL	liveness.heartbeatlatency-p75	1.8904737028362427e+07
NULL	sql.pgwire_cancel.total	0
NULL	sql.mem.internal.txn.max-p75	6555.1065328202685
NULL	jobs.mvcc_statistics_update.currently_running	1
NULL	sql.exec.latency.internal-avg	1.1929766829268292e+06
NULL	admission.elastic_cpu.utilization_limit	0.05
NULL	admission.elastic_cpu.over_limit_durations-max	0
NULL	rpc.streams.mux_rangefeed.active	13
NULL	physical_replication.flush_hist_nanos-p99.9	0
NULL	jobs.auto_config_env_runner.fail_or_cancel_failed	0
NULL	admission.wait_durations.sql-kv-response.user-high-pri-sum	1.2770958e+07
NULL	jobs.restore.resume_completed	0
NULL	changefeed.checkpoint.create_nanos-max	0
NULL	jobs.auto_config_env_runner.fail_or_cancel_retry_error	0
NULL	sql.distsql.select.count.internal	1487
NULL	txn.restarts.txnaborted	38
NULL	changefeed.nprocs_flush_nanos-p99.99	0
NULL	jobs.auto_create_partial_stats.expired_pts_records	0
NULL	admission.elastic_cpu.returned_nanos	1.7726703544e+10
NULL	kv.prober.read.latency-max	0
NULL	physical_replication.commit_latency-p75	0
NULL	changefeed.stage.downstream_client_send.latency-p75	0
NULL	kvflowcontrol.eval_wait.regular.duration-avg	291.40668453677335
NULL	jobs.changefeed.protected_age_sec	0
NULL	sql.txn.rollback_prepared.count	0
NULL	jobs.migration.currently_paused	0
NULL	jobs.key_visualizer.protected_age_sec	0
NULL	admission.wait_durations.sql-kv-response-p99	9899.749373433584
NULL	sql.distsql.select.distributed_exec.count	0
NULL	jobs.auto_schema_telemetry.protected_record_count	0
NULL	changefeed.stage.emit_row.latency-p99.9	0
NULL	sql.transaction_timeout.count	0
NULL	tenant.consumption.external_io_ingress_bytes	0
NULL	changefeed.emitted_batch_sizes-p90	0
NULL	schedules.CHANGEFEED.succeeded	0
NULL	distsender.rangefeed.retry.unknown	0
NULL	logical_replication.commit_latency-avg	0
NULL	sql.txn.latency-max	1.1689518164985757e+08
NULL	gossip.callbacks.processing_duration-p99.999	0
NULL	auth.password.conn.latency-p99	0
NULL	auth.scram.conn.latency-p90	0
NULL	sql.restart_savepoint.count.internal	0
NULL	jobs.key_visualizer.currently_paused	0
NULL	sql.mem.sql.session.prepared.current	50176
NULL	rpc.method.adminchangereplicas.recv	0
NULL	jobs.auto_schema_telemetry.currently_idle	0
NULL	changefeed.batch_reduction_count	0
NULL	distsender.batch_requests.replica_addressed.bytes	2.253556533e+09
NULL	distsender.rpc.err.exclusionviolationerrtype	0
NULL	jobs.update_table_metadata_cache.currently_paused	0
NULL	sql.stats.mem.max-p50	0
NULL	admission.wait_durations.sql-kv-response.user-high-pri-p99.999	0
NULL	admission.wait_durations.kv.normal-pri-p99	9900.062460961899
NULL	kv.prober.read.latency-p99	0
NULL	sql.mem.root.max-p99.999	0
NULL	jobs.auto_create_stats.expired_pts_records	0
NULL	changefeed.admit_latency-count	0
NULL	sql.mem.internal.txn.max-p99.99	8000
NULL	sql.restart_savepoint.started.count	47698
NULL	admission.wait_durations.kv.high-pri-p50	5000
NULL	sql.service.latency.historical-p75	0
NULL	sql.mem.root.max-p90	0
NULL	sql.disk.distsql.current	0
NULL	changefeed.buffer_entries.resolved.rangefeed	0
NULL	physical_replication.admit_latency-p99.999	0
NULL	changefeed.buffer_entries.out.aggregator	0
NULL	rpc.method.merge.recv	8.268071e+06
NULL	admission.admitted.sql-kv-response.user-high-pri	45875
NULL	auth.ldap.conn.latency-p75	0
NULL	sql.distsql.service.latency-p50	0
NULL	changefeed.kafka_throttling_hist_nanos-avg	0
NULL	sys.cpu.user.percent	0.0013006937900676221
NULL	admission.wait_durations.kv.high-pri-p99.9	10000
